,gene_name,tpm
641,2310011J03Rik,26.7652
642,2310014F06Rik,0.0
643,2310015A10Rik,5.449849
644,2310015A16Rik,0.0
645,2310015D24Rik,0.03834906
646,2310015K22Rik,0.0
647,2310016D03Rik,0.0
648,2310016D23Rik,3.409516
649,2310016G11Rik,0.0
650,2310020H05Rik,0.339463
651,2310022A10Rik,120.94740390259999
652,2310022B05Rik,9.83142
653,2310026I22Rik,0.0
654,2310026L22Rik,0.717322
655,2310030A07Rik,0.0
656,2310030G06Rik,0.0
657,2310033P09Rik,24.2954
658,2310034C09Rik,0.0
659,2310034G01Rik,1.23769
660,2310034O05Rik,0.9559829
661,2310039H08Rik,22.524
662,2310039L15Rik,0.115601
663,2310040G24Rik,1.63089
664,2310043L19Rik,0.303794
665,2310043M15Rik,0.0386378
666,2310043O21Rik,0.0
667,2310044K18Rik,0.143159
668,2310046K23Rik,0.0
669,2310047D07Rik,0.710801
670,2310050C09Rik,0.0
671,2310057J18Rik,0.258295
672,2310057M21Rik,13.0350341
673,2310057N15Rik,0.0
674,2310058D17Rik,2.979561
675,2310061I04Rik,39.69427
676,2310061N02Rik,0.0
677,2310065F04Rik,0.0
678,2310067P03Rik,0.0661554
679,2310068J16Rik,1.71572
680,2310069B03Rik,0.0
681,2310074N15Rik,0.477347
682,2310075C17Rik,0.727614
683,2310079G19Rik,0.0
684,2310081O03Rik,0.0
685,2400006E01Rik,0.0
686,2410002F23Rik,117.077647
687,2410003I16Rik,0.0422123
688,2410003L11Rik,0.5336687
689,2410004B18Rik,15.54696
690,2410004I01Rik,0.0
691,2410004P03Rik,0.0993677
692,2410006H16Rik,292.910562906
693,2410012E07Rik,0.0
694,2410017I17Rik,0.0
695,2410018L13Rik,0.0
696,2410021H03Rik,0.0
697,2410022M11Rik,1.8219
698,2410080I02Rik,0.0
699,2410124H12Rik,0.0
700,2410137M14Rik,0.0
701,2410152P15Rik,0.0
702,2500002B13Rik,8.691121
703,2500004C02Rik,1.426327
704,2510002D24Rik,22.33476
705,2510009E07Rik,0.280406
706,2510017J16Rik,0.203522
707,2510039O18Rik,45.2233
708,2510046G10Rik,1.03259
709,2600002D14Rik,1.07072
710,2600006K01Rik,0.0890923
711,2600014E21Rik,0.0112062
712,2610002M06Rik,4.1984960000000004
713,2610005L07Rik,15.4091
714,2610008E11Rik,2.415006
715,2610016A17Rik,0.0
716,2610020C07Rik,0.17064839999999998
717,2610021A01Rik,10.194295
718,2610027F03Rik,0.0
719,2610027K06Rik,0.0
720,2610028E06Rik,0.0
721,2610028H24Rik,0.0
722,2610035D17Rik,5.0352518
723,2610035F20Rik,0.0
724,2610037D02Rik,0.877159
725,2610042L04Rik,0.0
726,2610044O15Rik8,8.361465
727,2610203C22Rik,14.340559
728,2610204G07Rik,0.0
729,2610206C17Rik,0.891046
730,2610300M13Rik,0.0
731,2610303G11Rik,0.0
732,2610306M01Rik,3.13472
733,2610307P16Rik,0.0
734,2610316D01Rik,0.0
735,2610318M16Rik,0.0
736,2610318N02Rik,25.979438
737,2610507B11Rik,61.545641
738,2610507I01Rik,5.061177
739,2610528A11Rik,0.0
740,2610528J11Rik,0.0
741,2700033N17Rik,0.0
742,2700038G22Rik,3.24497
743,2700046A07Rik,0.0
744,2700046G09Rik,4.11359
745,2700049A03Rik,3.26515
746,2700054A10Rik,0.0128637
747,2700062C07Rik,15.139973
748,2700068H02Rik,0.0
749,2700069I18Rik,0.0
750,2700089I24Rik,0.0653485
751,2700097O09Rik,5.215664
752,2700099C18Rik,3.5763744500000003
753,2810001G20Rik,4.095441
754,2810002D19Rik,1.5661508000000002
755,2810004N23Rik,34.456656
756,2810013P06Rik,3.32163
757,2810021J22Rik,3.2445000000000004
758,2810029C07Rik,0.12029640999999999
759,2810030D12Rik,5.18037
760,2810032G03Rik,0.0
761,2810049E08Rik,0.0606389
762,2810402E24Rik,3.4073
763,2810403D21Rik,6.3218455
764,2810403G07Rik,0.0
765,2810404F17Rik,0.178809
766,2810404M03Rik,0.0518127
767,2810405F17Rik,0.887736
768,2810407A14Rik,0.0533174
769,2810408A11Rik,0.128064
770,2810408I11Rik,1.8231136000000001
771,2810410L24Rik,1.766958000597981
772,2810414N06Rik,4.9633199999999995
773,2810429I04Rik,1.0063428
774,2810430I11Rik,0.0
775,2810432F15Rik,0.0
776,2810433D01Rik,0.273862
777,2810442N19Rik,0.0
778,2810454H06Rik,0.0529243
779,2810455O05Rik,0.572928
780,2810457G06Rik,0.0161964
781,2810459M11Rik,0.0
782,2810471M01Rik,0.0
783,2900005J15Rik,1.9294010000000001
784,2900009J06Rik,0.0
785,2900026A02Rik,6.61998
786,2900040C04Rik,0.0
787,2900041M22Rik,0.2342
788,2900042K21Rik,0.0
789,2900045O20Rik,0.31169
790,2900052L18Rik,6.827209999999999
791,2900052N01Rik,0.0
792,2900057B20Rik,0.0
793,2900060B14Rik,0.0
794,2900060N12Rik,0.0849988
795,2900072N19Rik,0.0
796,2900076A07Rik,12.135645
797,2900079G21Rik,0.0331954
798,2900089D17Rik,12.406889999999999
799,2900092C05Rik,0.0
800,2900093K20Rik,6.59239
801,3010001F23Rik,0.0
802,3010003L21Rik,0.445784
803,3100003L05Rik,0.0
804,3110004A20Rik,0.0
805,3110006O06Rik,0.0932368
806,3110009E18Rik,6.203009999999999
807,3110009F21Rik,0.0
808,3110015C05Rik,0.0
809,3110018I06Rik,0.0
810,3110021N24Rik,0.0
811,3110039M20Rik,0.0
812,3110040M04Rik,0.0
813,3110040N11Rik,43.403052
814,3110045C21Rik,0.366393
815,3110056K07Rik,5.637678000000001
816,3110070M22Rik,0.059158954391
817,3110082I17Rik,41.275189999999995
818,3110082J24Rik,0.0
819,3110083C13Rik,4.177624
820,3110099E03Rik,0.0
821,3200001D21Rik,0.0
822,3222401L13Rik,0.0253275
823,3300002A11Rik,0.0
824,3300002I08Rik,0.46068699999999996
825,3300002P13Rik,0.12274
826,3300005D01Rik,13.096371
827,3425401B19Rik,0.0
828,3632454L22Rik,0.0
829,3830403N18Rik,0.0
830,3830406C13Rik,26.321832036
831,3830408C21Rik,1.453191
832,3830432H09Rik,0.189281
833,3930402G23Rik,0.0
834,4631405J19Rik,0.0
835,4632404H12Rik,8.50056
836,4632404M16Rik,0.0
837,4632411P08Rik,0.0646244
838,4632427E13Rik,0.5690550070756001
839,4632428C04Rik,0.0
840,4632433K11Rik,0.0
841,4731419I09Rik,0.773408
842,4732414G09Rik,0.0
843,4732419C18Rik,0.143466
844,4732440D04Rik,1.470567
845,4732463B04Rik,0.0367005
846,4732465J04Rik,0.43197054692000003
847,4732471J01Rik,3.7410718999999997
848,4732487G21Rik,0.863673
849,4732490B19Rik,0.0
850,4732491K20Rik,1.3114569999999999
851,4732496C06Rik,0.386761
852,4831440D22Rik,0.0
853,4833403J16Rik,0.132483
854,4833405L11Rik,0.0
855,4833407H14Rik,0.589529
856,4833408A19Rik,0.277989
857,4833411C07Rik,0.0
858,4833412C05Rik,0.222551
859,4833413E03Rik,0.1228539
860,4833413G10Rik,1.00622
861,4833415N18Rik,2.11298
862,4833417C18Rik,1.72395
863,4833418N02Rik,0.994113
864,4833419F23Rik,1.90311
865,4833419O12Rik,0.0
866,4833420G17Rik,10.79907
867,4833422C13Rik,0.0
868,4833422M21Rik,0.2247159
869,4833427F10Rik,0.503807
870,4833428L15Rik,0.0
871,4833438C02Rik,3.2339960000000003
872,4833439L19Rik,36.5778056
873,4833445I07Rik,1.0770205
874,4921501I09Rik,0.0
875,4921504A21Rik,0.0
876,4921504E06Rik,0.0
877,4921507G05Rik,0.473374
878,4921507P07Rik,0.240627
879,4921508D12Rik,0.0
880,4921509A06Rik,0.0
881,4921509C19Rik,0.0
882,4921509O07Rik,0.0
883,4921511C10Rik,0.0
884,4921511C20Rik,0.0
885,4921511I17Rik,0.0
886,4921513I03Rik,0.0400671
